Date,Order ID,Customer Name,Region,Product Category,Product Name,Units Sold,Unit Price,Sales,Cost,Profit,Discount,Payment Method,Sales Channel
4/29/2024,ORD0032,Customer 215,Central,Clothing,Formal Shoes,9,702.43,6321.87,4527.1,1794.77,0.15,Credit Card,Online
9/21/2024,ORD0033,Customer 215,Central,Stationery,Notebook,1,24.91,24.91,15.6,9.31,0.05,Cash,Online
3/15/2024,ORD0034,Customer 49,North,Electronics,Tablet Mini,4,939.1,3756.4,2378.13,1378.27,0,Credit Card,Online
2/18/2024,ORD0035,Customer 62,West,Clothing,Summer T-Shirt,10,308.67,3086.7,2359.53,727.17,0.05,Credit Card,Offline
6/7/2024,ORD0036,Customer 11,North,Appliances,Microwave Oven,8,1142.97,9143.76,6502.62,2641.14,0.05,UPI,Online
5/27/2024,ORD0037,Customer 296,East,Stationery,Highlighter Set,8,625.95,5007.6,3291.32,1716.28,0.1,UPI,Offline
10/7/2024,ORD0038,Customer 67,West,Clothing,Jeans,3,862.33,2586.99,1564.37,1022.62,0.1,Bank Transfer,Online
5/21/2024,ORD0039,Customer 233,South,Clothing,Summer T-Shirt,7,935.14,6545.98,5092.55,1453.43,0.15,UPI,Online
1/27/2024,ORD0040,Customer 98,East,Clothing,Summer T-Shirt,6,516.83,3100.98,2783.63,317.35,0.1,Credit Card,Online
7/10/2024,ORD0041,Customer 252,Central,Stationery,Highlighter Set,7,443.72,3106.04,2296.7,809.34,0.05,UPI,Online
3/20/2024,ORD0042,Customer 9,North,Clothing,Jeans,4,1208.2,4832.8,3985.27,847.53,0.1,Bank Transfer,Offline
3/3/2024,ORD0043,Customer 68,South,Clothing,Jeans,6,1141.58,6849.48,5290.35,1559.13,0,UPI,Offline
5/1/2024,ORD0044,Customer 254,Central,Furniture,Office Chair,4,1326.56,5306.24,4275.03,1031.21,0.15,Cash,Online
4/17/2024,ORD0045,Customer 171,East,Appliances,Blender Pro,10,380.98,3809.8,2825.04,984.76,0.15,Cash,Offline
9/6/2024,ORD0046,Customer 163,East,Stationery,Notebook,4,1159.61,4638.44,2952.02,1686.42,0.05,Cash,Online
2/17/2024,ORD0047,Customer 206,North,Furniture,Dining Table,8,1488.93,11911.44,8274.85,3636.59,0.05,Credit Card,Offline
4/14/2024,ORD0048,Customer 159,East,Furniture,Dining Table,3,239.6,718.8,552.24,166.56,0,Credit Card,Offline
11/26/2024,ORD0049,Customer 255,South,Furniture,Office Chair,5,253.08,1265.4,887.85,377.55,0,Credit Card,Online
6/10/2024,ORD0050,Customer 29,North,Appliances,Microwave Oven,9,1356.48,12208.32,8397.73,3810.59,0,UPI,Online
5/26/2024,ORD0051,Customer 177,North,Furniture,Bookshelf,10,835.99,8359.9,6887.63,1472.27,0,UPI,Online
1/19/2024,ORD0052,Customer 77,North,Stationery,Notebook,9,836.56,7529.04,5389.97,2139.07,0,UPI,Online
7/26/2024,ORD0053,Customer 96,East,Stationery,Ball Pen,8,1239.75,9918,7472.74,2445.26,0.05,UPI,Offline
7/6/2024,ORD0054,Customer 200,North,Furniture,Office Chair,2,1176.41,2352.82,1865.61,487.21,0.05,Bank Transfer,Online
7/17/2024,ORD0055,Customer 144,South,Electronics,Laptop Pro,5,805.07,4025.35,2874.32,1151.03,0.1,Credit Card,Offline
9/20/2024,ORD0056,Customer 92,West,Electronics,Smartphone X,9,1197.6,10778.4,7428.77,3349.63,0.15,Bank Transfer,Online
7/26/2024,ORD0057,Customer 29,Central,Clothing,Winter Jacket,6,660.07,3960.42,3102.1,858.32,0,UPI,Online
11/24/2024,ORD0058,Customer 16,South,Clothing,Jeans,1,198.4,198.4,123.19,75.21,0.15,UPI,Offline
6/8/2024,ORD0059,Customer 109,West,Stationery,Highlighter Set,4,1008.59,4034.36,3015.82,1018.54,0,Cash,Online
9/5/2024,ORD0060,Customer 102,South,Stationery,Notebook,7,863.67,6045.69,3668.77,2376.92,0.15,Cash,Offline
7/26/2024,ORD0061,Customer 112,North,Electronics,Smartphone X,8,415.79,3326.32,2323.93,1002.39,0.1,Credit Card,Online
6/10/2024,ORD0062,Customer 220,West,Furniture,Bookshelf,8,1401.77,11214.16,8427.52,2786.64,0.05,Cash,Online
10/15/2024,ORD0063,Customer 262,North,Clothing,Formal Shoes,7,1105.19,7736.33,6258.48,1477.85,0,Credit Card,Offline
1/10/2024,ORD0064,Customer 122,Central,Appliances,Blender Pro,3,384.47,1153.41,822.32,331.09,0.15,UPI,Online
5/10/2024,ORD0065,Customer 125,Central,Clothing,Jeans,9,1495.26,13457.34,10026.22,3431.12,0,Cash,Offline
5/9/2024,ORD0066,Customer 229,East,Stationery,Stapler,1,719.94,719.94,503.99,215.95,0.1,UPI,Offline
2/18/2024,ORD0067,Customer 118,West,Clothing,Summer T-Shirt,5,1013.77,5068.85,4537.62,531.23,0,Credit Card,Offline
1/12/2024,ORD0068,Customer 168,West,Electronics,Wireless Earbuds,4,1435.8,5743.2,4142.61,1600.59,0.05,Bank Transfer,Online
6/21/2024,ORD0069,Customer 236,East,Stationery,Notebook,10,733.73,7337.3,5603.8,1733.5,0.05,UPI,Offline
2/21/2024,ORD0070,Customer 65,North,Appliances,Air Conditioner,3,229.31,687.93,424.83,263.1,0.15,Bank Transfer,Offline
4/26/2024,ORD0071,Customer 89,West,Appliances,Vacuum Cleaner,9,746.11,6714.99,5057.98,1657.01,0.15,Credit Card,Online
3/29/2024,ORD0072,Customer 186,East,Furniture,Dining Table,9,247,2223,1678.33,544.67,0.1,UPI,Offline
10/10/2024,ORD0073,Customer 62,West,Stationery,Notebook,7,846.77,5927.39,5190.63,736.76,0,Credit Card,Offline
3/17/2024,ORD0074,Customer 223,South,Electronics,Wireless Earbuds,3,1138.81,3416.43,2782.74,633.69,0.05,Cash,Online
7/31/2024,ORD0075,Customer 140,Central,Appliances,Air Conditioner,5,189.91,949.55,610.91,338.64,0,Credit Card,Offline
6/8/2024,ORD0076,Customer 252,West,Clothing,Jeans,7,842.4,5896.8,4913.2,983.6,0,Cash,Online
6/29/2024,ORD0077,Customer 113,Central,Electronics,Smartphone X,10,628.78,6287.8,4838.24,1449.56,0.1,Credit Card,Offline
11/7/2024,ORD0078,Customer 285,East,Electronics,Laptop Pro,2,799.35,1598.7,1054.51,544.19,0.15,Credit Card,Online
10/12/2024,ORD0079,Customer 44,North,Appliances,Blender Pro,2,56.28,112.56,89.47,23.09,0.1,Cash,Online
12/1/2024,ORD0080,Customer 272,South,Electronics,Smartphone X,8,68.63,549.04,475.93,73.11,0.1,Bank Transfer,Online
7/10/2024,ORD0081,Customer 280,South,Electronics,Tablet Mini,10,1232.79,12327.9,9713.45,2614.45,0.05,UPI,Online
8/8/2024,ORD0082,Customer 183,Central,Appliances,Blender Pro,1,580.64,580.64,478.62,102.02,0.1,Credit Card,Offline
3/23/2024,ORD0083,Customer 182,West,Appliances,Air Conditioner,8,522.95,4183.6,3128.5,1055.1,0.15,Cash,Offline
7/7/2024,ORD0084,Customer 241,Central,Furniture,Standing Desk,2,600.68,1201.36,914.23,287.13,0.05,Credit Card,Offline
3/21/2024,ORD0085,Customer 59,East,Stationery,Stapler,3,756.27,2268.81,1519.02,749.79,0,UPI,Offline
1/5/2024,ORD0086,Customer 153,West,Clothing,Winter Jacket,5,910.17,4550.85,3257.1,1293.75,0.1,Cash,Online
12/15/2024,ORD0087,Customer 62,North,Stationery,Stapler,4,603.08,2412.32,1609.95,802.37,0.1,UPI,Offline
8/31/2024,ORD0088,Customer 187,North,Clothing,Winter Jacket,7,1103.35,7723.45,5622.67,2100.78,0,Bank Transfer,Offline
5/12/2024,ORD0089,Customer 144,East,Stationery,Notebook,8,120.96,967.68,688.6,279.08,0,Cash,Online
2/16/2024,ORD0090,Customer 176,Central,Clothing,Formal Shoes,1,751.26,751.26,469.19,282.07,0.15,UPI,Offline
11/27/2024,ORD0091,Customer 24,Central,Appliances,Microwave Oven,6,976.25,5857.5,4552.85,1304.65,0.05,UPI,Online
9/28/2024,ORD0092,Customer 67,East,Appliances,Blender Pro,9,821.61,7394.49,5870.83,1523.66,0,UPI,Offline
4/21/2024,ORD0093,Customer 160,South,Stationery,Highlighter Set,7,741.83,5192.81,3561.32,1631.49,0,UPI,Online
4/14/2024,ORD0094,Customer 247,Central,Clothing,Jeans,8,1139.6,9116.8,8190.31,926.49,0.1,Bank Transfer,Online
7/22/2024,ORD0095,Customer 164,North,Clothing,Winter Jacket,1,1424.67,1424.67,1071.83,352.84,0.1,Credit Card,Online
11/2/2024,ORD0096,Customer 280,North,Electronics,Laptop Pro,8,99.78,798.24,686.87,111.37,0,Bank Transfer,Offline
10/2/2024,ORD0097,Customer 95,West,Furniture,Bookshelf,1,1452.33,1452.33,1163.9,288.43,0.15,Cash,Online
12/12/2024,ORD0098,Customer 200,Central,Appliances,Air Conditioner,8,99.72,797.76,684.1,113.66,0.15,UPI,Online
1/2/2024,ORD0099,Customer 25,East,Electronics,Wireless Earbuds,4,173.45,693.8,495.08,198.72,0.1,UPI,Offline
11/8/2024,ORD0100,Customer 195,North,Clothing,Formal Shoes,5,480.38,2401.9,2062.58,339.32,0.15,Credit Card,Online
11/26/2024,ORD0101,Customer 166,North,Clothing,Winter Jacket,10,391.45,3914.5,2957.1,957.4,0.1,Bank Transfer,Online
1/24/2024,ORD0102,Customer 225,South,Clothing,Winter Jacket,6,541.03,3246.18,2616.72,629.46,0.1,Cash,Offline
11/1/2024,ORD0103,Customer 228,Central,Clothing,Summer T-Shirt,10,1125.77,11257.7,9841.11,1416.59,0.15,Credit Card,Offline
11/5/2024,ORD0104,Customer 214,East,Clothing,Winter Jacket,1,530.26,530.26,328.64,201.62,0,UPI,Offline
3/21/2024,ORD0105,Customer 287,South,Appliances,Vacuum Cleaner,6,931.22,5587.32,4090.13,1497.19,0.1,Cash,Offline
12/15/2024,ORD0106,Customer 254,Central,Clothing,Summer T-Shirt,2,135.33,270.66,165.36,105.3,0.1,Credit Card,Online
6/7/2024,ORD0107,Customer 80,Central,Electronics,Tablet Mini,6,759.38,4556.28,3689.66,866.62,0.15,Cash,Online
6/24/2024,ORD0108,Customer 120,Central,Electronics,Wireless Earbuds,6,1119.75,6718.5,4699.17,2019.33,0.1,Bank Transfer,Online
3/19/2024,ORD0109,Customer 285,West,Appliances,Air Conditioner,1,686.06,686.06,579.4,106.66,0.05,Cash,Online
10/30/2024,ORD0110,Customer 64,West,Appliances,Blender Pro,6,833.23,4999.38,4491.72,507.66,0.15,Bank Transfer,Offline
4/14/2024,ORD0111,Customer 173,South,Furniture,Dining Table,9,1034.04,9306.36,6995.73,2310.63,0.05,UPI,Offline
9/20/2024,ORD0112,Customer 138,North,Furniture,Office Chair,10,1013.33,10133.3,6662.11,3471.19,0.05,Cash,Online
4/21/2024,ORD0113,Customer 184,South,Clothing,Summer T-Shirt,4,544.45,2177.8,1307.48,870.32,0.15,Cash,Online
1/19/2024,ORD0114,Customer 224,South,Stationery,Stapler,8,459.18,3673.44,2686.04,987.4,0.1,Bank Transfer,Online
11/26/2024,ORD0115,Customer 219,East,Clothing,Formal Shoes,5,1435.07,7175.35,6239.31,936.04,0.05,UPI,Online
1/16/2024,ORD0116,Customer 161,North,Electronics,Tablet Mini,4,253.47,1013.88,703.88,310,0.15,Credit Card,Online
9/24/2024,ORD0117,Customer 79,East,Stationery,Notebook,2,1404.11,2808.22,1866.66,941.56,0.15,UPI,Offline
7/4/2024,ORD0118,Customer 148,West,Furniture,Bookshelf,3,174.69,524.07,437.35,86.72,0.05,Credit Card,Online
4/25/2024,ORD0119,Customer 83,West,Clothing,Summer T-Shirt,9,1227.68,11049.12,8847.82,2201.3,0.15,Cash,Offline
6/27/2024,ORD0120,Customer 41,West,Furniture,Dining Table,7,1203.67,8425.69,5292.54,3133.15,0.1,Cash,Offline
8/3/2024,ORD0121,Customer 217,Central,Furniture,Bookshelf,8,1338.65,10709.2,7206.71,3502.49,0,Credit Card,Online
12/24/2024,ORD0122,Customer 99,East,Appliances,Microwave Oven,4,63.5,254,214.19,39.81,0.15,Cash,Offline
5/12/2024,ORD0123,Customer 229,Central,Appliances,Air Conditioner,5,310.42,1552.1,1126.28,425.82,0.15,Cash,Online
3/31/2024,ORD0124,Customer 129,East,Appliances,Air Conditioner,7,114.21,799.47,552.68,246.79,0.1,Cash,Online
7/28/2024,ORD0125,Customer 96,North,Electronics,Tablet Mini,7,763.39,5343.73,4727.73,616,0.15,Bank Transfer,Offline
4/3/2024,ORD0126,Customer 16,East,Clothing,Jeans,5,560.92,2804.6,1883.07,921.53,0,Cash,Offline
3/29/2024,ORD0127,Customer 25,East,Stationery,Notebook,6,607.23,3643.38,2729.39,913.99,0.1,Bank Transfer,Offline
2/19/2024,ORD0128,Customer 121,Central,Furniture,Standing Desk,1,1211.8,1211.8,1019.05,192.75,0.05,Credit Card,Online
6/17/2024,ORD0129,Customer 161,South,Clothing,Formal Shoes,9,806.69,7260.21,6458.42,801.79,0.05,Bank Transfer,Offline
12/10/2024,ORD0130,Customer 128,East,Appliances,Air Conditioner,2,98.95,197.9,168.81,29.09,0,Cash,Online
6/25/2024,ORD0131,Customer 257,North,Electronics,Smartphone X,1,1270.2,1270.2,771.59,498.61,0,Cash,Offline
5/20/2024,ORD0132,Customer 4,South,Appliances,Vacuum Cleaner,9,1397.58,12578.22,8929.85,3648.37,0,Bank Transfer,Online
9/21/2024,ORD0133,Customer 292,North,Appliances,Microwave Oven,9,83.12,748.08,603.42,144.66,0.05,Bank Transfer,Online
10/30/2024,ORD0134,Customer 234,West,Appliances,Blender Pro,3,255.25,765.75,598.1,167.65,0.05,UPI,Online
11/21/2024,ORD0135,Customer 175,North,Furniture,Dining Table,9,221.17,1990.53,1744.48,246.05,0.1,Bank Transfer,Online
12/20/2024,ORD0136,Customer 213,West,Stationery,Highlighter Set,3,735.17,2205.51,1956.84,248.67,0.1,Bank Transfer,Online
10/2/2024,ORD0137,Customer 165,North,Appliances,Blender Pro,10,1227.12,12271.2,7641.23,4629.97,0.1,Credit Card,Offline
12/15/2024,ORD0138,Customer 188,West,Furniture,Standing Desk,9,786.4,7077.6,5259.63,1817.97,0,Bank Transfer,Offline
10/23/2024,ORD0139,Customer 294,North,Furniture,Standing Desk,7,672.56,4707.92,4229.15,478.77,0.15,Cash,Offline
1/24/2024,ORD0140,Customer 80,West,Stationery,Ball Pen,5,1377.21,6886.05,4633.35,2252.7,0,Bank Transfer,Online
4/19/2024,ORD0141,Customer 33,East,Clothing,Summer T-Shirt,4,953.69,3814.76,2915.73,899.03,0.05,Credit Card,Offline
3/12/2024,ORD0142,Customer 162,South,Electronics,Laptop Pro,8,1136.87,9094.96,5572.34,3522.62,0.1,UPI,Offline
12/5/2024,ORD0143,Customer 255,North,Appliances,Blender Pro,6,1261.44,7568.64,5951.7,1616.94,0.1,UPI,Online
7/2/2024,ORD0144,Customer 201,North,Stationery,Stapler,5,174.25,871.25,528.87,342.38,0.1,Bank Transfer,Online
12/17/2024,ORD0145,Customer 253,Central,Electronics,Tablet Mini,1,1455.32,1455.32,1097.65,357.67,0.1,Credit Card,Offline
6/8/2024,ORD0146,Customer 123,South,Appliances,Air Conditioner,5,245.97,1229.85,987.22,242.63,0,Bank Transfer,Offline
10/5/2024,ORD0147,Customer 283,South,Clothing,Jeans,6,566.05,3396.3,2273.18,1123.12,0.1,Bank Transfer,Online
4/15/2024,ORD0148,Customer 114,South,Appliances,Blender Pro,9,579.46,5215.14,4050.27,1164.87,0.15,Credit Card,Offline
12/22/2024,ORD0149,Customer 79,South,Appliances,Air Conditioner,2,1197.91,2395.82,2146.04,249.78,0.1,Credit Card,Offline
4/4/2024,ORD0150,Customer 68,West,Furniture,Standing Desk,7,1026.94,7188.58,6185.41,1003.17,0,UPI,Online
11/20/2024,ORD0151,Customer 58,Central,Stationery,Ball Pen,1,200.66,200.66,154.5,46.16,0.15,Bank Transfer,Offline
7/6/2024,ORD0152,Customer 212,Central,Clothing,Jeans,8,740.5,5924,5047.84,876.16,0.1,UPI,Offline
11/18/2024,ORD0153,Customer 14,South,Furniture,Office Chair,9,832.78,7495.02,5126.69,2368.33,0.05,Credit Card,Offline
11/26/2024,ORD0154,Customer 209,South,Stationery,Ball Pen,2,33.1,66.2,53.21,12.99,0.05,Cash,Online
9/19/2024,ORD0155,Customer 159,East,Appliances,Blender Pro,4,696.99,2787.96,2471.46,316.5,0,Credit Card,Online
11/16/2024,ORD0156,Customer 233,East,Furniture,Bookshelf,2,233.69,467.38,379.49,87.89,0.05,Bank Transfer,Offline
7/8/2024,ORD0157,Customer 190,North,Appliances,Vacuum Cleaner,9,369.59,3326.31,2296.17,1030.14,0.05,UPI,Offline
2/14/2024,ORD0158,Customer 160,West,Electronics,Wireless Earbuds,5,763.43,3817.15,2626.62,1190.53,0.15,Bank Transfer,Online
11/11/2024,ORD0159,Customer 28,Central,Furniture,Bookshelf,3,922.41,2767.23,2391.54,375.69,0.05,Bank Transfer,Online
4/17/2024,ORD0160,Customer 10,West,Appliances,Blender Pro,2,391.11,782.22,600.37,181.85,0.05,Credit Card,Online
1/9/2024,ORD0161,Customer 139,South,Appliances,Microwave Oven,9,1074.88,9673.92,8225.44,1448.48,0.15,Credit Card,Online
9/24/2024,ORD0162,Customer 110,South,Electronics,Tablet Mini,1,581.17,581.17,418.16,163.01,0,Cash,Offline
11/7/2024,ORD0163,Customer 24,Central,Clothing,Formal Shoes,5,1269,6345,5045.72,1299.28,0.1,Credit Card,Offline
10/15/2024,ORD0164,Customer 116,North,Furniture,Dining Table,9,383.52,3451.68,2908.26,543.42,0.15,UPI,Online
6/17/2024,ORD0165,Customer 36,West,Electronics,Tablet Mini,2,1197,2394,1679.91,714.09,0.05,UPI,Offline
7/31/2024,ORD0166,Customer 47,West,Clothing,Winter Jacket,9,137.35,1236.15,974.86,261.29,0.1,Cash,Offline
3/10/2024,ORD0167,Customer 134,South,Furniture,Office Chair,8,569.41,4555.28,3019.6,1535.68,0.1,Cash,Offline
3/23/2024,ORD0168,Customer 256,North,Stationery,Notebook,9,442.06,3978.54,2615.6,1362.94,0.05,Bank Transfer,Offline
7/13/2024,ORD0169,Customer 70,South,Appliances,Blender Pro,1,1023.56,1023.56,881.88,141.68,0.05,UPI,Online
4/10/2024,ORD0170,Customer 263,North,Clothing,Summer T-Shirt,5,546.04,2730.2,2071.22,658.98,0.1,Credit Card,Online
11/24/2024,ORD0171,Customer 216,South,Clothing,Formal Shoes,7,1252.38,8766.66,5456.75,3309.91,0,UPI,Online
2/27/2024,ORD0172,Customer 93,East,Stationery,Highlighter Set,1,268.06,268.06,229.23,38.83,0,Cash,Offline
3/12/2024,ORD0173,Customer 90,West,Clothing,Formal Shoes,6,375.29,2251.74,2026.14,225.6,0.15,Bank Transfer,Offline
6/25/2024,ORD0174,Customer 18,South,Furniture,Dining Table,8,711.02,5688.16,5071.38,616.78,0.15,Credit Card,Online
1/18/2024,ORD0175,Customer 137,West,Stationery,Stapler,4,1370.23,5480.92,3915.27,1565.65,0.05,Credit Card,Offline
3/18/2024,ORD0176,Customer 34,West,Furniture,Bookshelf,4,947.25,3789,3076.49,712.51,0,Bank Transfer,Online
4/20/2024,ORD0177,Customer 75,West,Appliances,Blender Pro,8,1278.76,10230.08,6311.87,3918.21,0,Cash,Online
9/19/2024,ORD0178,Customer 103,East,Appliances,Air Conditioner,10,587.09,5870.9,4472.35,1398.55,0.1,UPI,Online
10/12/2024,ORD0179,Customer 76,West,Clothing,Summer T-Shirt,9,1096.25,9866.25,8337.3,1528.95,0.05,Cash,Online
1/6/2024,ORD0180,Customer 149,North,Stationery,Ball Pen,10,430.13,4301.3,2854.97,1446.33,0.05,Credit Card,Online
11/12/2024,ORD0181,Customer 241,North,Appliances,Blender Pro,7,494.07,3458.49,3065.24,393.25,0.1,Bank Transfer,Online
10/17/2024,ORD0182,Customer 43,North,Electronics,Laptop Pro,10,1059.44,10594.4,7506.16,3088.24,0.05,Cash,Online
12/16/2024,ORD0183,Customer 273,South,Stationery,Highlighter Set,8,1212.18,9697.44,7640.94,2056.5,0.1,UPI,Offline
11/9/2024,ORD0184,Customer 153,South,Electronics,Laptop Pro,1,260.22,260.22,211.88,48.34,0.05,UPI,Online
9/12/2024,ORD0185,Customer 167,West,Clothing,Winter Jacket,8,791.93,6335.44,3962.77,2372.67,0.15,Cash,Online
4/15/2024,ORD0186,Customer 115,East,Appliances,Blender Pro,2,1146.26,2292.52,1831.25,461.27,0,Cash,Online
7/18/2024,ORD0187,Customer 32,North,Stationery,Notebook,9,1482.36,13341.24,10307.94,3033.3,0.1,Cash,Online
6/8/2024,ORD0188,Customer 161,North,Appliances,Air Conditioner,9,306.45,2758.05,2092.43,665.62,0.05,UPI,Online
1/21/2024,ORD0189,Customer 133,Central,Clothing,Summer T-Shirt,2,793.67,1587.34,1349.33,238.01,0,Bank Transfer,Offline
5/30/2024,ORD0190,Customer 112,West,Clothing,Jeans,3,517.66,1552.98,984.54,568.44,0.05,Cash,Offline
1/10/2024,ORD0191,Customer 243,North,Stationery,Ball Pen,8,695.26,5562.08,4337.18,1224.9,0.05,Bank Transfer,Offline
12/10/2024,ORD0192,Customer 77,North,Furniture,Standing Desk,4,969.54,3878.16,2632.42,1245.74,0.1,Bank Transfer,Offline
4/30/2024,ORD0193,Customer 37,North,Furniture,Dining Table,6,503.33,3019.98,2301.66,718.32,0.1,Bank Transfer,Online
8/27/2024,ORD0194,Customer 72,Central,Electronics,Smartphone X,3,191.25,573.75,460.46,113.29,0.05,Credit Card,Online
4/29/2024,ORD0195,Customer 195,East,Clothing,Formal Shoes,8,1426,11408,10220.89,1187.11,0,UPI,Offline
10/24/2024,ORD0196,Customer 209,North,Clothing,Jeans,8,347.11,2776.88,2326.45,450.43,0,Credit Card,Online
10/23/2024,ORD0197,Customer 268,West,Clothing,Winter Jacket,2,494.34,988.68,664.08,324.6,0.05,Cash,Offline
7/6/2024,ORD0198,Customer 143,North,Furniture,Standing Desk,5,267.24,1336.2,854.52,481.68,0.15,Bank Transfer,Online
4/18/2024,ORD0199,Customer 31,South,Electronics,Smartphone X,2,613.22,1226.44,996.07,230.37,0.1,UPI,Offline
9/11/2024,ORD0200,Customer 173,North,Furniture,Standing Desk,4,433.24,1732.96,1274.8,458.16,0.05,Credit Card,Online
1/4/2024,ORD0201,Customer 297,Central,Electronics,Tablet Mini,9,919.6,8276.4,6305.17,1971.23,0.1,Bank Transfer,Offline
4/14/2024,ORD0202,Customer 64,Central,Electronics,Wireless Earbuds,6,825.89,4955.34,4280.91,674.43,0.1,Cash,Offline
4/23/2024,ORD0203,Customer 204,North,Electronics,Smartphone X,3,910.58,2731.74,1893.86,837.88,0.05,Credit Card,Online
3/23/2024,ORD0204,Customer 187,West,Clothing,Summer T-Shirt,2,1473.18,2946.36,1788.73,1157.63,0,Bank Transfer,Online
12/8/2024,ORD0205,Customer 107,Central,Appliances,Vacuum Cleaner,6,94.82,568.92,442.52,126.4,0.1,Credit Card,Online
6/8/2024,ORD0206,Customer 172,Central,Appliances,Vacuum Cleaner,10,497.68,4976.8,3335.22,1641.58,0.1,Credit Card,Offline
11/28/2024,ORD0207,Customer 265,East,Electronics,Wireless Earbuds,4,1056.32,4225.28,2907.3,1317.98,0.05,Credit Card,Online
6/3/2024,ORD0208,Customer 158,North,Appliances,Vacuum Cleaner,1,1100.08,1100.08,923.2,176.88,0.15,UPI,Online
1/2/2024,ORD0209,Customer 17,North,Clothing,Summer T-Shirt,1,1059.9,1059.9,945.48,114.42,0.05,Bank Transfer,Offline
